id_bien;id_commune;no_voie;type_voie;indice_repetition;voie;nombre_piece;surface_carrez;surface_reelle_bati;type_local
23243;78418;2;RUE;;PRESIDENT RENE COTY;3;100.35;85;Appartement
22199;77390;18;AV;;DE MULHOUSE;4;100.36;86;Maison
23135;78372;10;ALL;;VAN GOGH;5;100.37;101;Appartement
27571;91685;5;ALL;;DES LILAS;5;100.37;121;Maison
14725;69382;6;PL;;DES JACOBINS;3;100.44;113;Appartement
5413;30203;5081;;;LES CALLADES;1;100.45;30;Appartement
14974;69386;33;RUE;;MALESHERBES;3;100.47;100;Appartement
17112;75109;74;RUE;;BLANCHE;3;100.48;117;Appartement
23134;78372;9;AV;;AUGUSTE RENOIR;5;100.48;98;Appartement
15587;74010;8;RUE;;SAINTE CLAIRE;4;100.49;112;Appartement
18991;75116;4;RUE;;FOUCAULT;4;100.5;100;Appartement
29956;93048;66;RUE;;DE PARIS;3;100.5;55;Appartement
6444;33192;2;ALL;;VERIGNAC;5;100.52;101;Maison
10403;44184;1;RUE;;JEAN PIERRE DUFREXOU;4;100.52;103;Appartement
14913;69385;15;RUE;;DE L ABBE PAPON;4;100.52;102;Appartement
27570;91685;8;RUE;;SALVADOR ALLENDE;5;100.52;121;Maison
11309;51108;11;RUE;;DU CAMP D ATTILA;4;100.53;101;Appartement
1882;06161;3;ALL;;DE LA TOURAQUE VAUGRENIER;4;100.55;102;Appartement
6609;33249;17;PL;;AUBERNY;4;100.55;65;Maison
14500;69278;92;RUE;;DE LA GARE;5;100.55;102;Appartement
1485;06088;352;AV;;DE FABRON;5;100.56;102;Maison
27199;91469;24;RUE;;DE LENDREVILLE;6;100.58;102;Maison
3671;14366;4;RUE;;DU CARMEL;4;100.6;96;Appartement
17005;75109;23;RUE;;DE MAUBEUGE;4;100.63;105;Appartement
24838;83098;9001;RES;;LES HAMEAUX DE LA GARONNE;4;100.65;102;Appartement
6262;33069;38;RUE;;ROGER SALENGRO;4;100.68;85;Maison
4597;26281;3;RUE;B;ALBERT TRIBOULET;4;100.69;114;Maison
